trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount
20220429,600185.SH,4.91,5.15,4.84,5.12,4.93,0.19,3.854,377853.65,190175.017
20220428,600185.SH,4.84,5.02,4.76,4.93,4.91,0.02,0.4073,409640.86,200538.766
20220427,600185.SH,4.78,4.92,4.6,4.91,4.89,0.02,0.409,398416.51,189486.198
20220426,600185.SH,5.13,5.18,4.88,4.89,4.97,-0.08,-1.6097,389957.61,196433.693
20220425,600185.SH,5.35,5.41,4.93,4.97,5.48,-0.51,-9.3066,500360.41,257321.347
20220422,600185.SH,5.46,5.55,5.32,5.48,5.46,0.02,0.3663,262094.83,143445.931
20220421,600185.SH,5.83,5.86,5.42,5.46,5.87,-0.41,-6.9847,433500.44,242892.023
20220420,600185.SH,6.07,6.14,5.81,5.87,6.11,-0.24,-3.928,333321.87,197882.793
20220419,600185.SH,5.87,6.16,5.77,6.11,5.92,0.19,3.2095,441143.61,265171.075
20220418,600185.SH,6.05,6.22,5.9,5.92,6.24,-0.32,-5.1282,572619.61,345575.914
20220415,600185.SH,6.29,6.55,6.17,6.24,6.34,-0.1,-1.5773,557212.65,354871.502
20220414,600185.SH,6.27,6.47,6.22,6.34,6.2,0.14,2.2581,428001.22,271289.354
20220413,600185.SH,6.35,6.41,6.12,6.2,6.45,-0.25,-3.876,470378.35,294405.378
20220412,600185.SH,6.3,6.64,6.22,6.45,6.24,0.21,3.3654,689941.13,444720.138
20220411,600185.SH,6.57,6.58,6.18,6.24,6.75,-0.51,-7.5556,725690.58,459169.792
20220408,600185.SH,6.55,6.82,6.45,6.75,6.62,0.13,1.9637,735621.17,488711.037
20220407,600185.SH,6.85,6.94,6.6,6.62,7.05,-0.43,-6.0993,853941.75,576603.57
20220406,600185.SH,7.0,7.28,6.75,7.05,7.0,0.05,0.7143,1419484.38,992046.653
20220401,600185.SH,6.46,7.2,6.37,7.0,6.59,0.41,6.2215,1259079.92,851440.161
20220331,600185.SH,6.25,6.92,6.24,6.59,6.3,0.29,4.6032,1062368.66,694798.757
20220330,600185.SH,5.98,6.43,5.96,6.3,5.99,0.31,5.1753,776804.6,485139.015
20220329,600185.SH,5.94,6.09,5.89,5.99,6.0,-0.01,-0.1667,329173.64,196714.771
20220328,600185.SH,5.83,6.12,5.8,6.0,5.9,0.1,1.6949,414389.69,248382.707
20220325,600185.SH,5.81,6.02,5.74,5.9,5.86,0.04,0.6826,302305.77,178166.991
20220324,600185.SH,5.96,6.02,5.81,5.86,6.04,-0.18,-2.9801,322921.83,190657.725
20220323,600185.SH,5.83,6.2,5.76,6.04,5.87,0.17,2.8961,482876.47,287503.088
20220322,600185.SH,5.66,5.97,5.65,5.87,5.73,0.14,2.4433,376971.9,220606.882
20220321,600185.SH,5.7,5.79,5.62,5.73,5.68,0.05,0.8803,225013.8,128504.655
20220318,600185.SH,5.45,5.72,5.43,5.68,5.51,0.17,3.0853,277262.29,155474.932
20220317,600185.SH,5.58,5.69,5.49,5.51,5.42,0.09,1.6605,339003.7,189445.731
20220316,600185.SH,5.14,5.46,5.06,5.42,5.06,0.36,7.1146,307677.8,160958.422
20220315,600185.SH,5.46,5.47,5.06,5.06,5.47,-0.41,-7.4954,354048.17,186354.506
20220314,600185.SH,5.56,5.68,5.47,5.47,5.63,-0.16,-2.8419,136272.56,76164.627
20220311,600185.SH,5.58,5.66,5.43,5.63,5.63,0.0,0.0,190208.27,105060.424
20220310,600185.SH,5.7,5.74,5.61,5.63,5.61,0.02,0.3565,174860.18,98900.227
20220309,600185.SH,5.9,5.93,5.36,5.61,5.89,-0.28,-4.7538,332654.49,187336.152
20220308,600185.SH,6.02,6.06,5.82,5.89,6.04,-0.15,-2.4834,197317.69,117174.062
20220307,600185.SH,6.06,6.13,6.0,6.04,6.1,-0.06,-0.9836,136978.76,82967.49
20220304,600185.SH,6.2,6.21,6.08,6.1,6.22,-0.12,-1.9293,180687.71,110552.23
20220303,600185.SH,6.14,6.29,6.12,6.22,6.12,0.1,1.634,253729.41,157384.087
20220302,600185.SH,6.15,6.21,6.09,6.12,6.15,-0.03,-0.4878,134851.41,82676.481
20220301,600185.SH,6.09,6.19,6.08,6.15,6.11,0.04,0.6547,126659.72,78018.555
20220228,600185.SH,6.18,6.2,6.01,6.11,6.16,-0.05,-0.8117,119651.51,72823.359
20220225,600185.SH,6.03,6.18,6.03,6.16,6.02,0.14,2.3256,143571.97,88035.852
20220224,600185.SH,6.27,6.28,5.94,6.02,6.26,-0.24,-3.8339,319127.8,194509.215
20220223,600185.SH,6.29,6.3,6.2,6.26,6.25,0.01,0.16,132312.8,82613.678
20220222,600185.SH,6.39,6.47,6.21,6.25,6.46,-0.21,-3.2508,253158.82,159901.512
20220221,600185.SH,6.3,6.51,6.26,6.46,6.31,0.15,2.3772,258168.78,164548.455
20220218,600185.SH,6.26,6.36,6.19,6.31,6.25,0.06,0.96,209526.09,131227.888
20220217,600185.SH,6.25,6.33,6.17,6.25,6.27,-0.02,-0.319,173612.65,108631.935
20220216,600185.SH,6.26,6.32,6.23,6.27,6.23,0.04,0.6421,94302.67,59182.194
20220215,600185.SH,6.23,6.28,6.16,6.23,6.27,-0.04,-0.638,137315.44,85341.131
20220214,600185.SH,6.32,6.33,6.21,6.27,6.39,-0.12,-1.8779,131155.2,82226.06
20220211,600185.SH,6.38,6.52,6.36,6.39,6.38,0.01,0.1567,223329.23,143636.345
20220210,600185.SH,6.27,6.43,6.21,6.38,6.3,0.08,1.2698,170028.46,107751.302
20220209,600185.SH,6.33,6.42,6.28,6.3,6.33,-0.03,-0.4739,176693.52,111776.941
20220208,600185.SH,6.17,6.34,6.13,6.33,6.15,0.18,2.9268,195902.36,122327.102
20220207,600185.SH,6.14,6.18,6.05,6.15,6.08,0.07,1.1513,124450.27,76201.907
20220128,600185.SH,5.9,6.13,5.82,6.08,5.88,0.2,3.4014,204204.02,122352.512
20220127,600185.SH,6.04,6.06,5.87,5.88,6.07,-0.19,-3.1301,199054.3,118560.014
20220126,600185.SH,6.1,6.14,5.99,6.07,6.1,-0.03,-0.4918,194182.57,117394.054
20220125,600185.SH,6.19,6.28,6.04,6.1,6.24,-0.14,-2.2436,259144.66,159118.934
20220124,600185.SH,6.27,6.31,6.15,6.24,6.27,-0.03,-0.4785,133420.44,83206.468
20220121,600185.SH,6.31,6.32,6.13,6.27,6.32,-0.05,-0.7911,204237.55,127271.208
20220120,600185.SH,6.41,6.54,6.29,6.32,6.41,-0.09,-1.4041,235943.21,150903.519
20220119,600185.SH,6.44,6.52,6.34,6.41,6.45,-0.04,-0.6202,197638.4,126983.567
20220118,600185.SH,6.5,6.55,6.38,6.45,6.51,-0.06,-0.9217,215586.19,139227.583
20220117,600185.SH,6.52,6.59,6.48,6.51,6.52,-0.01,-0.1534,189303.6,123431.36
20220114,600185.SH,6.7,6.72,6.5,6.52,6.74,-0.22,-3.2641,313964.93,206251.009
20220113,600185.SH,6.74,6.93,6.71,6.74,6.76,-0.02,-0.2959,339424.15,231544.733
20220112,600185.SH,6.79,6.84,6.7,6.76,6.84,-0.08,-1.1696,289097.31,195153.548
20220111,600185.SH,6.8,7.06,6.79,6.84,6.81,0.03,0.4405,339170.49,234400.882
20220110,600185.SH,6.72,6.85,6.52,6.81,6.72,0.09,1.3393,297079.54,199441.226
20220107,600185.SH,6.72,6.9,6.68,6.72,6.71,0.01,0.149,387399.42,263249.063
20220106,600185.SH,6.72,6.84,6.65,6.71,6.71,0.0,0.0,290792.98,196172.248
20220105,600185.SH,6.9,6.93,6.66,6.71,6.9,-0.19,-2.7536,357620.89,241557.277
20220104,600185.SH,6.92,6.98,6.82,6.9,6.91,-0.01,-0.1447,245275.49,169561.094
20211231,600185.SH,6.87,6.98,6.82,6.91,6.84,0.07,1.0234,206700.66,143249.287
20211230,600185.SH,6.84,6.89,6.79,6.84,6.84,0.0,0.0,181595.12,124239.587
20211229,600185.SH,6.93,6.96,6.82,6.84,6.93,-0.09,-1.2987,210117.15,144600.104
20211228,600185.SH,6.9,6.99,6.8,6.93,6.91,0.02,0.2894,238998.11,164836.895
20211227,600185.SH,6.91,7.13,6.83,6.91,6.9,0.01,0.1449,292412.07,204093.439
20211224,600185.SH,7.07,7.1,6.8,6.9,7.08,-0.18,-2.5424,326618.89,225290.295
20211223,600185.SH,7.14,7.24,7.03,7.08,7.15,-0.07,-0.979,260032.01,184669.182
20211222,600185.SH,7.41,7.44,7.14,7.15,7.43,-0.28,-3.7685,401451.71,290349.68
20211221,600185.SH,7.16,7.51,7.15,7.43,7.19,0.24,3.338,430840.43,319691.036
20211220,600185.SH,7.22,7.37,7.14,7.19,7.23,-0.04,-0.5533,254399.92,184603.517
20211217,600185.SH,7.29,7.37,7.17,7.23,7.3,-0.07,-0.9589,255414.63,185183.25
20211216,600185.SH,7.46,7.5,7.2,7.3,7.43,-0.13,-1.7497,391997.93,286922.204
